Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"James Wood","WSN",6,29,3,8,10,1,0.172413793,0.137931034,0.52173913,0.5625,0.52173913,0.620689655,1.04347826,0.6886767601144725,0.5950240431160763,342.0669277653841,0.22204758785665035,8.575212066024001,-0.661036804318428,0.9010310099023534,"James Wood",29518,695578
"Elly De La Cruz","CIN",7,32,1,6,3,5,0.15625,0.1875,0.222222222,0.4,0.333333333,0.4375,0.555555555,0.4405669178813696,0.38793780468404293,174.3104427524111,1.1538332449272275,3.9833834494737914,0.9280325025320053,0.6031969965682069,"Elly De La Cruz",26668,682829
"Jordan Walker","STL",6,27,4,5,5,0,0.111111111,0.37037037,0.5,0.4,0.333333333,0.407407407,0.833333333,0.5264501262594152,0.5452446628499914,237.64679190929346,0.12380934739485383,4.546101546493288,0.1886463314294815,0.5693969366381806,"Jordan Walker",27475,691023
"Maikel Garcia","KCR",7,31,2,5,4,0,0.032258064,0.193548387,0.3,0.363636363,0.333333333,0.354838709,0.633333333,0.4310429153903838,0.4027484501561811,174.78739090413126,0.2746782833710313,2.950256135031266,1.3059775978326797,0.5528696905698223,"Maikel Garcia",22715,672580
"Gunnar Henderson","BAL",6,28,4,6,6,1,0.142857142,0.321428571,0.541666666,0.181818181,0.25,0.357142857,0.791666666,0.4817814848252705,0.343350282737187,213.65783329078565,0.23433919390663505,3.9070346701117957,0.43529724702239037,0.5503248087010171,"Gunnar Henderson",26289,683002
"Nico Hoerner","CHC",7,34,1,3,7,1,0.117647058,0.058823529,0.178571429,0.32,0.321428571,0.44117647,0.5,0.426166131215937,0.3913877045407015,171.44623402597765,0.32332215271890163,3.213841200618267,0.8983890321105719,0.5277064728795415,"Nico Hoerner",21479,663538
"Cam Smith","HOU",6,27,1,3,6,1,0.074074074,0.222222222,0.24,0.444444444,0.36,0.407407407,0.6,0.44310081667370266,0.4211309254169464,186.58953117429175,0.3152052783407271,3.0132967453899373,1.0919317081570625,0.5222773680147077,"Cam Smith",35108,701358
"Drake Baldwin","ATL",6,28,2,5,8,0,0.035714285,0.285714285,0.269230769,0.5625,0.423076923,0.464285714,0.692307692,0.5088476325784411,0.3794603305203574,223.50127226889822,-0.17046745400875807,3.9443165199303953,0.2941414946690202,0.5217568376654332,"Drake Baldwin",31539,686948
"Angel Martínez","CLE",6,21,1,5,6,3,0.047619047,0.047619047,0.25,0.5,0.5,0.523809523,0.75,0.5608638950756618,0.40934295881362187,266.93588688987063,0.29591455683112144,4.3416410512919485,-0.22003603423945606,0.501242833152368,"Angel Martinez",26540,682657
"Dalton Rushing","LAD",2,8,3,4,4,0,0,0.125,1.285714286,0.666666666,0.714285714,0.75,2,1.111677274107933,1.1316695724214827,620.3034675089202,-0.021027513015724253,4.9319263666339275,-0.2815947122871876,0.501015468814012,"Dalton Rushing",31382,687221
