Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Braxton Ashcraft","PIT",1,0,0,2,2,11,13.909090909090908,0.8181818181818182,0,0.34782608695652173,0.77777778,0.52173913,0,96.79336863550647,1.6363636363636365,1.3970148457347533,0.3708719080144709,1.2327630408785561,0.7012289507824939,"Braxton Ashcraft",23793,677952
"Shota Imanaga","CHC",0,0,0,2,2,11,10.636363636363637,1.6363636363636365,0,0.13043478260869565,0.8,0.217391304,0,92.37823036595395,0.8181818181818182,1.7151309353439066,1.3708719080144711,2.971526869047772,0.5284845411139442,"Shota Imanaga",33829,684007
"Max Fried","NYY",0,0,0,2,2,14.2,6.136363902367847,1.8409091707103544,0,0.25,0.57142857,0.441860465,0,94.73901760962701,3.681818341420709,1.9375966636973994,2.4390536936846634,3.916581414072197,0.4797524793748184,"Max Fried",13743,608331
"Keider Montero","DET",1,1,0,2,2,10.1,8.709677687296642,1.7419355374593284,0,0.19230769230769232,0.57142857,0.384615384,0,94.75969088807398,1.7419355374593284,1.2078806472138397,1.8342149748390337,3.6692090560976256,0.4484492889482991,"Keider Montero",22630,672456
"Kris Bubic","KCR",1,1,0,2,2,12,14.25,3,0.75,0.22727272727272727,0.69767442,0.478260869,0.1,91.88239397321429,3,2.1706938204527835,2.105720392862956,2.1510540192325918,0.4204335551678581,"Kris Bubic",21455,663460
"Mason Miller","SDP",1,0,1,4,0,4,24.75,0,0,0,1,1,0,101.92190093994141,0,0.017443673373018744,-2.3109462738037108,-2.3109462738037108,0.40804855594918543,"Mason Miller",31757,695243
"Ryan Weathers","NYY",0,1,0,1,1,8,7.875,0,0,0.30434782608695654,0.85714286,0.318181818,0,95.86773322610294,1.125,6.71069314650286,1.4390537261962892,2.6241540338844063,0.39608565681528624,"Ryan Weathers",23796,677960
"Trevor Rogers","BAL",0,0,0,1,1,6,9,0,0,0.3157894736842105,0.66666667,0.210526315,0,91.40237926136363,3,1.653171586684765,1.1890537261962897,3.6721210375428206,0.35127951454082235,"Trevor Rogers",22286,669432
"Davis Martin","CHW",1,1,0,2,2,13,6.230769230769231,1.3846153846153846,0.6923076923076923,0.2702702702702703,0.94827586,0.297297297,0.066666666,94.61818033854166,1.3846153846153846,4.410337126361613,3.2659768031193663,3.8287464396311686,0.3501942563814013,"Davis Martin",21448,663436
"Sandy Alcantara","MIA",0,0,0,1,1,8.1,6.480000247192392,2.160000082397464,0,0.13636363636363635,0.6,0.454545454,0,97.62042705829327,2.160000082397464,1.3363950498640513,2.469053698730468,3.9318061343050923,0.3467422028323897,"Sandy Alcantara",18684,645261
